Freq.	V(out)
1.77827941003891e+06	(1.79852709961357e+00dB,-9.72063663540882e+01°)
1.99526231496886e+06	(8.30098989332388e-01dB,-1.00666322239980e+02°)
2.23872113856832e+06	(-1.39514665512045e-01dB,-1.04281963466633e+02°)
2.51188643150955e+06	(-1.10639256722051e+00dB,-1.08124662751358e+02°)
2.81838293126442e+06	(-2.06727608851743e+00dB,-1.12287090801730e+02°)
3.16227766016835e+06	(-3.02061807118852e+00dB,-1.16890120434474e+02°)
3.54813389233572e+06	(-3.96849617524935e+00dB,-1.22090161659612e+02°)
3.98107170553493e+06	(-4.91991188892572e+00dB,-1.28084468067301e+02°)
4.46683592150958e+06	(-5.89612062673199e+00dB,-1.35107704331562e+02°)
5.01187233627267e+06	(-6.93818239975202e+00dB,-1.43404526681581e+02°)
5.50000000000000e+06	(-7.87316080140379e+00dB,-1.51157844472642e+02°)
